_id,_rev,carat,cut,color,clarity,depth,table,price
3,1-6cae93b085edb9425839d170243dda33,0.32,Premium,E,I1,60.9,58,342
10,1-fddbbbca9448f121ecbf83b054231e06,0.31,Very Good,J,SI1,59.4,62,346
7,1-b709e1c9ca25953abd6e0f991c14ec31,0.3,Good,I,SI2,63.3,56,343
2,1-bb99032cde872d889f41bb4069e23675,0.2,Premium,E,SI2,60.2,62,351
1,1-382b01d4e862168ea846699e0b43f1c2,0.31,Ideal,J,SI2,62.2,54,339
4,1-05804d3e703d804d594a3b6c3e682009,0.3,Good,J,SI1,63.4,54,349
6,1-123dab0cac8ea522248f6b754fbd0324,0.3,Very Good,J,SI1,62.7,59,349
8,1-25555992de6885ff8bfb6dda79e4ff39,0.23,Very Good,E,VS2,63.8,55,339
5,1-0e3d121da9ecf20d914feecc5bf75695,0.3,Good,J,SI1,63.8,56,347
9,1-41642c0c3515988461e9f7bda7c429b1,0.23,Very Good,H,VS1,61,57,323
