index,rates
AUD,1.2912935323
BGN,1.6217247098
BRL,5.3707296849
CAD,1.2689883914
CHF,0.8960199005
CNY,6.4582089552
CZK,21.4618573798
DKK,6.1665008292
EUR,0.8291873964
GBP,0.7210613599
HKD,7.7523217247
HRK,6.2773631841
HUF,297.7031509121
IDR,14062.504145937
ILS,3.2568822554
INR,72.7976782753
ISK,129.1873963516
JPY,106.0862354892
KRW,1106.7744610282
MXN,20.3014925373
MYR,4.0383084577
NOK,8.4670812604
NZD,1.3918739635000001
PHP,48.451907131
PLN,3.7323383085
RON,4.0422885572
RUB,73.8411276949
SEK,8.326119403
SGD,1.3290215589
THB,29.9900497512
TRY,6.9940298507000005
USD,1.0
ZAR,14.7800165837
